city,year,weekofyear,total_cases
sj,2010,30,7
sj,2010,31,24
sj,2010,32,34
sj,2010,33,22
sj,2010,34,23
sj,2010,35,40
sj,2010,36,34
sj,2010,37,35
sj,2010,38,40
sj,2010,39,26
sj,2010,40,32
sj,2010,41,27
sj,2010,42,22
sj,2010,43,28
sj,2010,44,32
sj,2010,45,41
sj,2010,46,34
sj,2010,47,34
sj,2010,48,34
sj,2010,49,21
sj,2010,50,31
sj,2010,51,24
sj,2011,52,19
sj,2011,1,20
sj,2011,2,16
sj,2011,3,19
sj,2011,4,20
sj,2011,5,20
sj,2011,6,16
sj,2011,7,20
sj,2011,8,16
sj,2011,9,13
sj,2011,10,13
sj,2011,11,7
sj,2011,12,7
sj,2011,13,11
sj,2011,14,6
sj,2011,15,4
sj,2011,16,6
sj,2011,17,4
sj,2011,18,3
sj,2011,19,3
sj,2011,20,4
sj,2011,21,2
sj,2011,22,5
sj,2011,23,2
sj,2011,24,7
sj,2011,25,6
sj,2011,26,9
sj,2011,27,7
sj,2011,28,8
sj,2011,29,10
sj,2011,30,10
sj,2011,31,10
sj,2011,32,13
sj,2011,33,12
sj,2011,34,17
sj,2011,35,12
sj,2011,36,22
sj,2011,37,26
sj,2011,38,20
sj,2011,39,21
sj,2011,40,34
sj,2011,41,20
sj,2011,42,13
sj,2011,43,13
sj,2011,44,11
sj,2011,45,11
sj,2011,46,11
sj,2011,47,24
sj,2011,48,24
sj,2011,49,24
sj,2011,50,23
sj,2011,51,19
sj,2012,52,14
sj,2012,1,14
sj,2012,2,12
sj,2012,3,12
sj,2012,4,8
sj,2012,5,12
sj,2012,6,12
sj,2012,7,7
sj,2012,8,8
sj,2012,9,6
sj,2012,10,4
sj,2012,11,5
sj,2012,12,3
sj,2012,13,7
sj,2012,14,2
sj,2012,15,5
sj,2012,16,2
sj,2012,17,1
sj,2012,18,5
sj,2012,19,4
sj,2012,20,6
sj,2012,21,5
sj,2012,22,8
sj,2012,23,10
sj,2012,24,9
sj,2012,25,6
sj,2012,26,6
sj,2012,27,7
sj,2012,28,11
sj,2012,29,8
sj,2012,30,8
sj,2012,31,8
sj,2012,32,8
sj,2012,33,13
sj,2012,34,13
sj,2012,35,11
sj,2012,36,13
sj,2012,37,14
sj,2012,38,14
sj,2012,39,19
sj,2012,40,29
sj,2012,41,31
sj,2012,42,31
sj,2012,43,31
sj,2012,44,31
sj,2012,45,31
sj,2012,46,25
sj,2012,47,24
sj,2012,48,16
sj,2012,49,15
sj,2012,50,15
sj,2012,51,14
sj,2013,1,14
sj,2013,2,13
sj,2013,3,9
sj,2013,4,4
sj,2013,5,9
sj,2013,6,4
sj,2013,7,7
sj,2013,8,7
sj,2013,9,6
sj,2013,10,4
sj,2013,11,2
sj,2013,12,2
sj,2013,13,6
sj,2013,14,2
sj,2013,15,6
sj,2013,16,5
sj,2013,17,3
iq,2010,26,6
iq,2010,27,0
iq,2010,28,1
iq,2010,29,0
iq,2010,30,1
iq,2010,31,3
iq,2010,32,0
iq,2010,33,3
iq,2010,34,3
iq,2010,35,3
iq,2010,36,0
iq,2010,37,3
iq,2010,38,6
iq,2010,39,3
iq,2010,40,0
iq,2010,41,3
iq,2010,42,6
iq,2010,43,7
iq,2010,44,5
iq,2010,45,3
iq,2010,46,1
iq,2010,47,12
iq,2010,48,3
iq,2010,49,12
iq,2010,50,1
iq,2010,51,7
iq,2011,52,14
iq,2011,1,8
iq,2011,2,8
iq,2011,3,7
iq,2011,4,8
iq,2011,5,3
iq,2011,6,8
iq,2011,7,7
iq,2011,8,5
iq,2011,9,9
iq,2011,10,6
iq,2011,11,5
iq,2011,12,9
iq,2011,13,8
iq,2011,14,4
iq,2011,15,2
iq,2011,16,2
iq,2011,17,5
iq,2011,18,5
iq,2011,19,4
iq,2011,20,2
iq,2011,21,5
iq,2011,22,6
iq,2011,23,4
iq,2011,24,5
iq,2011,25,3
iq,2011,26,0
iq,2011,27,2
iq,2011,28,1
iq,2011,29,1
iq,2011,30,2
iq,2011,31,2
iq,2011,32,0
iq,2011,33,1
iq,2011,34,1
iq,2011,35,3
iq,2011,36,1
iq,2011,37,0
iq,2011,38,1
iq,2011,39,0
iq,2011,40,4
iq,2011,41,3
iq,2011,42,7
iq,2011,43,1
iq,2011,44,3
iq,2011,45,4
iq,2011,46,12
iq,2011,47,7
iq,2011,48,8
iq,2011,49,7
iq,2011,50,13
iq,2011,51,18
iq,2012,52,6
iq,2012,1,11
iq,2012,2,13
iq,2012,3,14
iq,2012,4,10
iq,2012,5,13
iq,2012,6,16
iq,2012,7,13
iq,2012,8,11
iq,2012,9,12
iq,2012,10,16
iq,2012,11,9
iq,2012,12,6
iq,2012,13,6
iq,2012,14,4
iq,2012,15,8
iq,2012,16,7
iq,2012,17,8
iq,2012,18,5
iq,2012,19,3
iq,2012,20,4
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,2
iq,2012,25,4
iq,2012,26,2
iq,2012,27,3
iq,2012,28,3
iq,2012,29,3
iq,2012,30,4
iq,2012,31,3
iq,2012,32,3
iq,2012,33,4
iq,2012,34,2
iq,2012,35,4
iq,2012,36,2
iq,2012,37,5
iq,2012,38,8
iq,2012,39,12
iq,2012,40,3
iq,2012,41,6
iq,2012,42,18
iq,2012,43,8
iq,2012,44,16
iq,2012,45,13
iq,2012,46,11
iq,2012,47,10
iq,2012,48,8
iq,2012,49,11
iq,2012,50,16
iq,2012,51,13
iq,2013,1,17
iq,2013,2,16
iq,2013,3,18
iq,2013,4,15
iq,2013,5,15
iq,2013,6,20
iq,2013,7,17
iq,2013,8,15
iq,2013,9,15
iq,2013,10,12
iq,2013,11,11
iq,2013,12,11
iq,2013,13,11
iq,2013,14,7
iq,2013,15,3
iq,2013,16,3
iq,2013,17,5
iq,2013,18,5
iq,2013,19,2
iq,2013,20,6
iq,2013,21,3
iq,2013,22,1
iq,2013,23,3
iq,2013,24,2
iq,2013,25,1
iq,2013,26,3
