city,year,weekofyear,total_cases
iq,2012,19,3
iq,2012,20,3
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,4
iq,2012,26,3
iq,2012,27,3
iq,2012,28,5
iq,2012,29,3
iq,2012,30,4
iq,2012,31,3
iq,2012,32,5
iq,2012,33,4
iq,2012,34,3
iq,2012,35,4
iq,2012,36,2
iq,2012,37,5
iq,2012,38,2
iq,2012,39,12
iq,2012,40,7
iq,2012,41,4
iq,2012,42,9
iq,2012,43,9
iq,2012,44,12
iq,2012,45,9
iq,2012,46,8
iq,2012,47,13
iq,2012,48,11
iq,2012,49,7
iq,2012,50,8
iq,2012,51,15
iq,2013,1,13
iq,2013,2,12
iq,2013,3,16
iq,2013,4,21
iq,2013,5,20
iq,2013,6,22
iq,2013,7,20
iq,2013,8,18
iq,2013,9,20
iq,2013,10,10
iq,2013,11,8
iq,2013,12,7
iq,2013,13,5
iq,2013,14,12
iq,2013,15,3
iq,2013,16,2
iq,2013,17,3
iq,2013,18,2
iq,2013,19,3
iq,2013,20,4
iq,2013,21,4
iq,2013,22,2
iq,2013,23,2
iq,2013,24,3
iq,2013,25,2
iq,2013,26,4
